Id,SalePrice
1461,119020.13492694938
1462,153448.99187391615
1463,181643.4777769824
1464,197972.01030901924
1465,200873.64221538784
1466,167021.23709386625
1467,178373.34786025182
1468,160827.77476777046
1469,190295.4596785678
1470,122005.3719476964
1471,177950.52272039698
1472,96958.84515583827
1473,94306.65475178717
1474,142642.38590274318
1475,105054.805310391
1476,358029.4228136292
1477,247491.81502919644
1478,302894.0452607766
1479,300804.3411616079
1480,470014.74179207406
1481,339272.1185648127
1482,214667.21125639565
1483,180710.314015121
1484,163444.95241532236
1485,200514.5554340402
1486,192429.88810322806
1487,347312.0254169495
1488,238845.42637334025
1489,189645.16774102757
1490,246052.3623682872
1491,196354.14543745888
1492,93071.03203337941
1493,187471.4754477592
1494,303082.40046594746
1495,291334.72132693144
1496,236610.79991463976
1497,177546.33082660215
1498,182843.03862205613
1499,171032.4403256538
1500,158432.87465871737
1501,173092.2280932176
1502,144899.59551358476
1503,293923.23051650723
1504,242783.53745061456
1505,227975.63258332788
1506,186704.78538770028
1507,236611.59842586773
1508,203055.87099377968
1509,160212.367555963
1510,145633.82610954813
1511,159320.6440458683
1512,173760.90274167995
1513,149928.0657896681
1514,157445.15325828656
1515,186757.06429280358
1516,155480.95246123464
1517,169333.299760325
1518,130651.15599779141
1519,207160.96822407047
1520,127953.98467523624
1521,129656.17288417592
1522,175531.34339502844
1523,110744.8988541297
1524,124326.88806306633
1525,118165.51394895154
1526,109240.204378099
1527,107371.3398385396
1528,134364.89525047748
1529,155143.48460466915
1530,192280.76108268692
1531,108986.10220671236
1532,98549.45402841605
1533,145038.6733248917
1534,127014.5066038646
1535,143671.79727503582
1536,107451.29833239024
1537,59015.90655852557
1538,152455.88349248923
1539,190287.99300304084
1540,92112.9755522407
1541,139258.82485135566
1542,139213.29426140522
1543,175126.60420666946
1544,89372.28209612364
1545,117382.48050005932
1546,141801.7456719588
1547,133123.79218349227
1548,139760.71462752557
1549,120673.82484028797
1550,138750.39000600725
1551,106720.62873198449
1552,135781.68654438882
1553,142781.3494641292
1554,116459.94946484503
1555,161623.55879381177
1556,86748.93480832137
1557,108025.6685313873
1558,105777.78448704832
1559,68127.98529488148
1560,130507.82292664566
1561,119918.3468154988
1562,130781.57709473088
